Item_Identifier,Outlet_Identifier,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales
FDM24,OUT049,2283.475,2283.475,2283.475,2283.475,2283.475,2283.475,2283.475,2283.475,2283.475,2283.475,2283.475,2283.475
FDI57,OUT045,3202.641,3202.641,3202.641,3202.641,3202.641,3202.641,3202.641,3202.641,3202.641,3202.641,3202.641,3202.641
DRC12,OUT018,2925.549,2925.549,2925.549,2925.549,2925.549,2925.549,2925.549,2925.549,2925.549,2925.549,2925.549,2925.549
NCM42,OUT027,2722.909,2722.909,2722.909,2722.909,2722.909,2722.909,2722.909,2722.909,2722.909,2722.909,2722.909,2722.909
FDA46,OUT010,506.303,506.303,506.303,506.303,506.303,506.303,506.303,506.303,506.303,506.303,506.303,506.303
FDA31,OUT013,2840.472,2840.472,2840.472,2840.472,2840.472,2840.472,2840.472,2840.472,2840.472,2840.472,2840.472,2840.472
NCJ31,OUT035,3799.018,3799.018,3799.018,3799.018,3799.018,3799.018,3799.018,3799.018,3799.018,3799.018,3799.018,3799.018
FDG52,OUT046,769.78,769.78,769.78,769.78,769.78,769.78,769.78,769.78,769.78,769.78,769.78,769.78
NCL19,OUT019,372.688,372.688,372.688,372.688,372.688,372.688,372.688,372.688,372.688,372.688,372.688,372.688
FDS10,OUT035,2639.802,2639.802,2639.802,2639.802,2639.802,2639.802,2639.802,2639.802,2639.802,2639.802,2639.802,2639.802
FDX22,OUT010,566.14,566.14,566.14,566.14,566.14,566.14,566.14,566.14,566.14,566.14,566.14,566.14
NCF19,OUT035,695.696,695.696,695.696,695.696,695.696,695.696,695.696,695.696,695.696,695.696,695.696,695.696
NCE06,OUT046,2519.663,2519.663,2519.663,2519.663,2519.663,2519.663,2519.663,2519.663,2519.663,2519.663,2519.663,2519.663
DRC27,OUT046,3770.646,3770.646,3770.646,3770.646,3770.646,3770.646,3770.646,3770.646,3770.646,3770.646,3770.646,3770.646
FDE21,OUT035,2208.212,2208.212,2208.212,2208.212,2208.212,2208.212,2208.212,2208.212,2208.212,2208.212,2208.212,2208.212
NCR42,OUT019,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22,74.22
FDX51,OUT018,2850.758,2850.758,2850.758,2850.758,2850.758,2850.758,2850.758,2850.758,2850.758,2850.758,2850.758,2850.758
NCR06,OUT018,517.098,517.098,517.098,517.098,517.098,517.098,517.098,517.098,517.098,517.098,517.098,517.098
FDU31,OUT027,5378.29,5378.29,5378.29,5378.29,5378.29,5378.29,5378.29,5378.29,5378.29,5378.29,5378.29,5378.29
FDU59,OUT017,2488.61,2488.61,2488.61,2488.61,2488.61,2488.61,2488.61,2488.61,2488.61,2488.61,2488.61,2488.61
FDR03,OUT027,5449.36,5449.36,5449.36,5449.36,5449.36,5449.36,5449.36,5449.36,5449.36,5449.36,5449.36,5449.36
FDS49,OUT027,2319.358,2319.358,2319.358,2319.358,2319.358,2319.358,2319.358,2319.358,2319.358,2319.358,2319.358,2319.358
FDD48,OUT010,278.485,278.485,278.485,278.485,278.485,278.485,278.485,278.485,278.485,278.485,278.485,278.485
NCF18,OUT017,3040.819,3040.819,3040.819,3040.819,3040.819,3040.819,3040.819,3040.819,3040.819,3040.819,3040.819,3040.819
NCD43,OUT027,2513.616,2513.616,2513.616,2513.616,2513.616,2513.616,2513.616,2513.616,2513.616,2513.616,2513.616,2513.616
NCD54,OUT018,1609.906,1609.906,1609.906,1609.906,1609.906,1609.906,1609.906,1609.906,1609.906,1609.906,1609.906,1609.906
FDY19,OUT010,221.943,221.943,221.943,221.943,221.943,221.943,221.943,221.943,221.943,221.943,221.943,221.943
NCY54,OUT017,2832.996,2832.996,2832.996,2832.996,2832.996,2832.996,2832.996,2832.996,2832.996,2832.996,2832.996,2832.996
NCL19,OUT018,2239.932,2239.932,2239.932,2239.932,2239.932,2239.932,2239.932,2239.932,2239.932,2239.932,2239.932,2239.932
FDP23,OUT010,526.559,526.559,526.559,526.559,526.559,526.559,526.559,526.559,526.559,526.559,526.559,526.559
FDC26,OUT013,1736.513,1736.513,1736.513,1736.513,1736.513,1736.513,1736.513,1736.513,1736.513,1736.513,1736.513,1736.513
FDR14,OUT010,146.792,146.792,146.792,146.792,146.792,146.792,146.792,146.792,146.792,146.792,146.792,146.792
NCS41,OUT035,3040.442,3040.442,3040.442,3040.442,3040.442,3040.442,3040.442,3040.442,3040.442,3040.442,3040.442,3040.442
FDF41,OUT035,3977.388,3977.388,3977.388,3977.388,3977.388,3977.388,3977.388,3977.388,3977.388,3977.388,3977.388,3977.388
FDU34,OUT046,1993.469,1993.469,1993.469,1993.469,1993.469,1993.469,1993.469,1993.469,1993.469,1993.469,1993.469,1993.469
DRH11,OUT046,1048.029,1048.029,1048.029,1048.029,1048.029,1048.029,1048.029,1048.029,1048.029,1048.029,1048.029,1048.029
FDM03,OUT013,1747.524,1747.524,1747.524,1747.524,1747.524,1747.524,1747.524,1747.524,1747.524,1747.524,1747.524,1747.524
FDS31,OUT017,3117.263,3117.263,3117.263,3117.263,3117.263,3117.263,3117.263,3117.263,3117.263,3117.263,3117.263,3117.263
FDJ20,OUT017,1863.204,1863.204,1863.204,1863.204,1863.204,1863.204,1863.204,1863.204,1863.204,1863.204,1863.204,1863.204
FDV44,OUT027,5181.66,5181.66,5181.66,5181.66,5181.66,5181.66,5181.66,5181.66,5181.66,5181.66,5181.66,5181.66
FDG02,OUT049,2769.568,2769.568,2769.568,2769.568,2769.568,2769.568,2769.568,2769.568,2769.568,2769.568,2769.568,2769.568
FDA09,OUT013,3092.944,3092.944,3092.944,3092.944,3092.944,3092.944,3092.944,3092.944,3092.944,3092.944,3092.944,3092.944
FDT04,OUT013,602.279,602.279,602.279,602.279,602.279,602.279,602.279,602.279,602.279,602.279,602.279,602.279
FDL58,OUT019,450.424,450.424,450.424,450.424,450.424,450.424,450.424,450.424,450.424,450.424,450.424,450.424
FDE52,OUT045,1362.368,1362.368,1362.368,1362.368,1362.368,1362.368,1362.368,1362.368,1362.368,1362.368,1362.368,1362.368
FDW12,OUT035,2379.09,2379.09,2379.09,2379.09,2379.09,2379.09,2379.09,2379.09,2379.09,2379.09,2379.09,2379.09
FDL51,OUT017,3434.498,3434.498,3434.498,3434.498,3434.498,3434.498,3434.498,3434.498,3434.498,3434.498,3434.498,3434.498
NCY42,OUT027,3252.287,3252.287,3252.287,3252.287,3252.287,3252.287,3252.287,3252.287,3252.287,3252.287,3252.287,3252.287
FDR07,OUT017,1537.741,1537.741,1537.741,1537.741,1537.741,1537.741,1537.741,1537.741,1537.741,1537.741,1537.741,1537.741
FDN40,OUT045,2179.91,2179.91,2179.91,2179.91,2179.91,2179.91,2179.91,2179.91,2179.91,2179.91,2179.91,2179.91
FDB35,OUT027,2431.292,2431.292,2431.292,2431.292,2431.292,2431.292,2431.292,2431.292,2431.292,2431.292,2431.292,2431.292
FDA22,OUT017,2528.048,2528.048,2528.048,2528.048,2528.048,2528.048,2528.048,2528.048,2528.048,2528.048,2528.048,2528.048
NCL06,OUT046,3959.409,3959.409,3959.409,3959.409,3959.409,3959.409,3959.409,3959.409,3959.409,3959.409,3959.409,3959.409
FDI35,OUT013,3172.066,3172.066,3172.066,3172.066,3172.066,3172.066,3172.066,3172.066,3172.066,3172.066,3172.066,3172.066
NCW42,OUT045,3621.745,3621.745,3621.745,3621.745,3621.745,3621.745,3621.745,3621.745,3621.745,3621.745,3621.745,3621.745
NCX06,OUT049,3126.06,3126.06,3126.06,3126.06,3126.06,3126.06,3126.06,3126.06,3126.06,3126.06,3126.06,3126.06
FDC37,OUT027,2719.138,2719.138,2719.138,2719.138,2719.138,2719.138,2719.138,2719.138,2719.138,2719.138,2719.138,2719.138
FDZ14,OUT018,1810.178,1810.178,1810.178,1810.178,1810.178,1810.178,1810.178,1810.178,1810.178,1810.178,1810.178,1810.178
DRG49,OUT049,4043.229,4043.229,4043.229,4043.229,4043.229,4043.229,4043.229,4043.229,4043.229,4043.229,4043.229,4043.229
NCG06,OUT045,3440.835,3440.835,3440.835,3440.835,3440.835,3440.835,3440.835,3440.835,3440.835,3440.835,3440.835,3440.835
DRC36,OUT045,2797.104,2797.104,2797.104,2797.104,2797.104,2797.104,2797.104,2797.104,2797.104,2797.104,2797.104,2797.104
FDV21,OUT019,333.638,333.638,333.638,333.638,333.638,333.638,333.638,333.638,333.638,333.638,333.638,333.638
FDB53,OUT046,2573.474,2573.474,2573.474,2573.474,2573.474,2573.474,2573.474,2573.474,2573.474,2573.474,2573.474,2573.474
DRP47,OUT019,626.761,626.761,626.761,626.761,626.761,626.761,626.761,626.761,626.761,626.761,626.761,626.761
FDA14,OUT013,2490.364,2490.364,2490.364,2490.364,2490.364,2490.364,2490.364,2490.364,2490.364,2490.364,2490.364,2490.364
DRC24,OUT035,2699.192,2699.192,2699.192,2699.192,2699.192,2699.192,2699.192,2699.192,2699.192,2699.192,2699.192,2699.192
FDW21,OUT018,1455.999,1455.999,1455.999,1455.999,1455.999,1455.999,1455.999,1455.999,1455.999,1455.999,1455.999,1455.999
NCH29,OUT046,1800.883,1800.883,1800.883,1800.883,1800.883,1800.883,1800.883,1800.883,1800.883,1800.883,1800.883,1800.883
FDU58,OUT013,3077.83,3077.83,3077.83,3077.83,3077.83,3077.83,3077.83,3077.83,3077.83,3077.83,3077.83,3077.83
FDY27,OUT017,2878.385,2878.385,2878.385,2878.385,2878.385,2878.385,2878.385,2878.385,2878.385,2878.385,2878.385,2878.385
FDV56,OUT035,1758.532,1758.532,1758.532,1758.532,1758.532,1758.532,1758.532,1758.532,1758.532,1758.532,1758.532,1758.532
FDT59,OUT046,3869.666,3869.666,3869.666,3869.666,3869.666,3869.666,3869.666,3869.666,3869.666,3869.666,3869.666,3869.666
FDB23,OUT046,3186.754,3186.754,3186.754,3186.754,3186.754,3186.754,3186.754,3186.754,3186.754,3186.754,3186.754,3186.754
FDR49,OUT045,731.433,731.433,731.433,731.433,731.433,731.433,731.433,731.433,731.433,731.433,731.433,731.433
FDB03,OUT010,670.91,670.91,670.91,670.91,670.91,670.91,670.91,670.91,670.91,670.91,670.91,670.91
FDN39,OUT045,2650.659,2650.659,2650.659,2650.659,2650.659,2650.659,2650.659,2650.659,2650.659,2650.659,2650.659,2650.659
FDX02,OUT027,5958.92,5958.92,5958.92,5958.92,5958.92,5958.92,5958.92,5958.92,5958.92,5958.92,5958.92,5958.92
FDQ16,OUT027,2450.754,2450.754,2450.754,2450.754,2450.754,2450.754,2450.754,2450.754,2450.754,2450.754,2450.754,2450.754
FDU35,OUT018,1440.654,1440.654,1440.654,1440.654,1440.654,1440.654,1440.654,1440.654,1440.654,1440.654,1440.654,1440.654
NCT29,OUT013,1980.582,1980.582,1980.582,1980.582,1980.582,1980.582,1980.582,1980.582,1980.582,1980.582,1980.582,1980.582
FDZ27,OUT046,737.748,737.748,737.748,737.748,737.748,737.748,737.748,737.748,737.748,737.748,737.748,737.748
FDN57,OUT017,2182.568,2182.568,2182.568,2182.568,2182.568,2182.568,2182.568,2182.568,2182.568,2182.568,2182.568,2182.568
FDA03,OUT018,2106.944,2106.944,2106.944,2106.944,2106.944,2106.944,2106.944,2106.944,2106.944,2106.944,2106.944,2106.944
FDZ36,OUT045,3030.02,3030.02,3030.02,3030.02,3030.02,3030.02,3030.02,3030.02,3030.02,3030.02,3030.02,3030.02
NCU05,OUT013,1121.556,1121.556,1121.556,1121.556,1121.556,1121.556,1121.556,1121.556,1121.556,1121.556,1121.556,1121.556
FDT39,OUT018,1913.094,1913.094,1913.094,1913.094,1913.094,1913.094,1913.094,1913.094,1913.094,1913.094,1913.094,1913.094
FDK60,OUT017,1542.444,1542.444,1542.444,1542.444,1542.444,1542.444,1542.444,1542.444,1542.444,1542.444,1542.444,1542.444
FDZ25,OUT017,2862.582,2862.582,2862.582,2862.582,2862.582,2862.582,2862.582,2862.582,2862.582,2862.582,2862.582,2862.582
FDG12,OUT046,2221.911,2221.911,2221.911,2221.911,2221.911,2221.911,2221.911,2221.911,2221.911,2221.911,2221.911,2221.911
DRB01,OUT019,440.953,440.953,440.953,440.953,440.953,440.953,440.953,440.953,440.953,440.953,440.953,440.953
NCC43,OUT027,6273.203,6273.203,6273.203,6273.203,6273.203,6273.203,6273.203,6273.203,6273.203,6273.203,6273.203,6273.203
FDX13,OUT019,439.507,439.507,439.507,439.507,439.507,439.507,439.507,439.507,439.507,439.507,439.507,439.507
FDM22,OUT049,866.196,866.196,866.196,866.196,866.196,866.196,866.196,866.196,866.196,866.196,866.196,866.196
FDJ03,OUT027,1413.154,1413.154,1413.154,1413.154,1413.154,1413.154,1413.154,1413.154,1413.154,1413.154,1413.154,1413.154
FDU14,OUT018,3690.697,3690.697,3690.697,3690.697,3690.697,3690.697,3690.697,3690.697,3690.697,3690.697,3690.697,3690.697
FDB33,OUT010,427.727,427.727,427.727,427.727,427.727,427.727,427.727,427.727,427.727,427.727,427.727,427.727
FDP27,OUT046,3537.126,3537.126,3537.126,3537.126,3537.126,3537.126,3537.126,3537.126,3537.126,3537.126,3537.126,3537.126
FDO38,OUT010,190.27,190.27,190.27,190.27,190.27,190.27,190.27,190.27,190.27,190.27,190.27,190.27
FDE28,OUT027,6295.892,6295.892,6295.892,6295.892,6295.892,6295.892,6295.892,6295.892,6295.892,6295.892,6295.892,6295.892
FDO27,OUT035,1555.72,1555.72,1555.72,1555.72,1555.72,1555.72,1555.72,1555.72,1555.72,1555.72,1555.72,1555.72
DRL23,OUT027,2513.648,2513.648,2513.648,2513.648,2513.648,2513.648,2513.648,2513.648,2513.648,2513.648,2513.648,2513.648
FDS28,OUT046,895.282,895.282,895.282,895.282,895.282,895.282,895.282,895.282,895.282,895.282,895.282,895.282
FDX24,OUT013,1411.995,1411.995,1411.995,1411.995,1411.995,1411.995,1411.995,1411.995,1411.995,1411.995,1411.995,1411.995
FDZ02,OUT035,1537.896,1537.896,1537.896,1537.896,1537.896,1537.896,1537.896,1537.896,1537.896,1537.896,1537.896,1537.896
FDL46,OUT045,1622.32,1622.32,1622.32,1622.32,1622.32,1622.32,1622.32,1622.32,1622.32,1622.32,1622.32,1622.32
FDS60,OUT027,5289.12,5289.12,5289.12,5289.12,5289.12,5289.12,5289.12,5289.12,5289.12,5289.12,5289.12,5289.12
NCO06,OUT017,553.001,553.001,553.001,553.001,553.001,553.001,553.001,553.001,553.001,553.001,553.001,553.001
FDO16,OUT035,1565.227,1565.227,1565.227,1565.227,1565.227,1565.227,1565.227,1565.227,1565.227,1565.227,1565.227,1565.227
FDC60,OUT049,1775.207,1775.207,1775.207,1775.207,1775.207,1775.207,1775.207,1775.207,1775.207,1775.207,1775.207,1775.207
FDA48,OUT018,3582.021,3582.021,3582.021,3582.021,3582.021,3582.021,3582.021,3582.021,3582.021,3582.021,3582.021,3582.021
FDZ36,OUT027,4786.167,4786.167,4786.167,4786.167,4786.167,4786.167,4786.167,4786.167,4786.167,4786.167,4786.167,4786.167
FDK27,OUT045,1915.922,1915.922,1915.922,1915.922,1915.922,1915.922,1915.922,1915.922,1915.922,1915.922,1915.922,1915.922
FDW23,OUT018,494.981,494.981,494.981,494.981,494.981,494.981,494.981,494.981,494.981,494.981,494.981,494.981
FDM14,OUT018,1494.374,1494.374,1494.374,1494.374,1494.374,1494.374,1494.374,1494.374,1494.374,1494.374,1494.374,1494.374
FDM14,OUT013,1702.338,1702.338,1702.338,1702.338,1702.338,1702.338,1702.338,1702.338,1702.338,1702.338,1702.338,1702.338
FDW60,OUT018,2517.476,2517.476,2517.476,2517.476,2517.476,2517.476,2517.476,2517.476,2517.476,2517.476,2517.476,2517.476
FDE21,OUT013,1984.005,1984.005,1984.005,1984.005,1984.005,1984.005,1984.005,1984.005,1984.005,1984.005,1984.005,1984.005
NCM42,OUT035,1697.829,1697.829,1697.829,1697.829,1697.829,1697.829,1697.829,1697.829,1697.829,1697.829,1697.829,1697.829
FDY59,OUT010,243.089,243.089,243.089,243.089,243.089,243.089,243.089,243.089,243.089,243.089,243.089,243.089
DRI49,OUT049,1306.511,1306.511,1306.511,1306.511,1306.511,1306.511,1306.511,1306.511,1306.511,1306.511,1306.511,1306.511
FDT28,OUT019,374.992,374.992,374.992,374.992,374.992,374.992,374.992,374.992,374.992,374.992,374.992,374.992
FDQ22,OUT018,465.938,465.938,465.938,465.938,465.938,465.938,465.938,465.938,465.938,465.938,465.938,465.938
FDR60,OUT049,1276.914,1276.914,1276.914,1276.914,1276.914,1276.914,1276.914,1276.914,1276.914,1276.914,1276.914,1276.914
FDC50,OUT019,255.361,255.361,255.361,255.361,255.361,255.361,255.361,255.361,255.361,255.361,255.361,255.361
FDV24,OUT013,2230.144,2230.144,2230.144,2230.144,2230.144,2230.144,2230.144,2230.144,2230.144,2230.144,2230.144,2230.144
DRF48,OUT010,528.881,528.881,528.881,528.881,528.881,528.881,528.881,528.881,528.881,528.881,528.881,528.881
FDQ47,OUT046,859.087,859.087,859.087,859.087,859.087,859.087,859.087,859.087,859.087,859.087,859.087,859.087
DRN36,OUT049,1558.711,1558.711,1558.711,1558.711,1558.711,1558.711,1558.711,1558.711,1558.711,1558.711,1558.711,1558.711
NCY06,OUT035,2164.558,2164.558,2164.558,2164.558,2164.558,2164.558,2164.558,2164.558,2164.558,2164.558,2164.558,2164.558
FDE52,OUT035,1507.658,1507.658,1507.658,1507.658,1507.658,1507.658,1507.658,1507.658,1507.658,1507.658,1507.658,1507.658
NCB54,OUT045,1973.516,1973.516,1973.516,1973.516,1973.516,1973.516,1973.516,1973.516,1973.516,1973.516,1973.516,1973.516
NCF31,OUT035,2427.933,2427.933,2427.933,2427.933,2427.933,2427.933,2427.933,2427.933,2427.933,2427.933,2427.933,2427.933
FDJ08,OUT027,4910.094,4910.094,4910.094,4910.094,4910.094,4910.094,4910.094,4910.094,4910.094,4910.094,4910.094,4910.094
NCC07,OUT017,1622.586,1622.586,1622.586,1622.586,1622.586,1622.586,1622.586,1622.586,1622.586,1622.586,1622.586,1622.586
NCD19,OUT027,1574.91,1574.91,1574.91,1574.91,1574.91,1574.91,1574.91,1574.91,1574.91,1574.91,1574.91,1574.91
FDL46,OUT049,1907.137,1907.137,1907.137,1907.137,1907.137,1907.137,1907.137,1907.137,1907.137,1907.137,1907.137,1907.137
FDM20,OUT045,3968.647,3968.647,3968.647,3968.647,3968.647,3968.647,3968.647,3968.647,3968.647,3968.647,3968.647,3968.647
NCI06,OUT010,618.482,618.482,618.482,618.482,618.482,618.482,618.482,618.482,618.482,618.482,618.482,618.482
DRM11,OUT035,4742.26,4742.26,4742.26,4742.26,4742.26,4742.26,4742.26,4742.26,4742.26,4742.26,4742.26,4742.26
NCH07,OUT018,2253.045,2253.045,2253.045,2253.045,2253.045,2253.045,2253.045,2253.045,2253.045,2253.045,2253.045,2253.045
FDS23,OUT013,1832.611,1832.611,1832.611,1832.611,1832.611,1832.611,1832.611,1832.611,1832.611,1832.611,1832.611,1832.611
FDO49,OUT018,660.015,660.015,660.015,660.015,660.015,660.015,660.015,660.015,660.015,660.015,660.015,660.015
FDS35,OUT049,1068.162,1068.162,1068.162,1068.162,1068.162,1068.162,1068.162,1068.162,1068.162,1068.162,1068.162,1068.162
DRK39,OUT045,1308.15,1308.15,1308.15,1308.15,1308.15,1308.15,1308.15,1308.15,1308.15,1308.15,1308.15,1308.15
DRI39,OUT049,887.63,887.63,887.63,887.63,887.63,887.63,887.63,887.63,887.63,887.63,887.63,887.63
FDV04,OUT017,2556.946,2556.946,2556.946,2556.946,2556.946,2556.946,2556.946,2556.946,2556.946,2556.946,2556.946,2556.946
NCN14,OUT035,2852.521,2852.521,2852.521,2852.521,2852.521,2852.521,2852.521,2852.521,2852.521,2852.521,2852.521,2852.521
FDH08,OUT013,3939.235,3939.235,3939.235,3939.235,3939.235,3939.235,3939.235,3939.235,3939.235,3939.235,3939.235,3939.235
FDS20,OUT046,3251.888,3251.888,3251.888,3251.888,3251.888,3251.888,3251.888,3251.888,3251.888,3251.888,3251.888,3251.888
FDV40,OUT049,1208.476,1208.476,1208.476,1208.476,1208.476,1208.476,1208.476,1208.476,1208.476,1208.476,1208.476,1208.476
FDZ48,OUT010,205.743,205.743,205.743,205.743,205.743,205.743,205.743,205.743,205.743,205.743,205.743,205.743
FDS24,OUT027,2478.796,2478.796,2478.796,2478.796,2478.796,2478.796,2478.796,2478.796,2478.796,2478.796,2478.796,2478.796
FDK44,OUT049,2978.045,2978.045,2978.045,2978.045,2978.045,2978.045,2978.045,2978.045,2978.045,2978.045,2978.045,2978.045
FDS48,OUT045,2560.871,2560.871,2560.871,2560.871,2560.871,2560.871,2560.871,2560.871,2560.871,2560.871,2560.871,2560.871
FDK26,OUT010,649.293,649.293,649.293,649.293,649.293,649.293,649.293,649.293,649.293,649.293,649.293,649.293
FDD23,OUT045,3069.156,3069.156,3069.156,3069.156,3069.156,3069.156,3069.156,3069.156,3069.156,3069.156,3069.156,3069.156
NCH54,OUT017,2688.41,2688.41,2688.41,2688.41,2688.41,2688.41,2688.41,2688.41,2688.41,2688.41,2688.41,2688.41
NCP14,OUT010,279.71,279.71,279.71,279.71,279.71,279.71,279.71,279.71,279.71,279.71,279.71,279.71
FDM60,OUT010,117.851,117.851,117.851,117.851,117.851,117.851,117.851,117.851,117.851,117.851,117.851,117.851
FDV24,OUT017,2250.875,2250.875,2250.875,2250.875,2250.875,2250.875,2250.875,2250.875,2250.875,2250.875,2250.875,2250.875
FDH08,OUT018,2972.03,2972.03,2972.03,2972.03,2972.03,2972.03,2972.03,2972.03,2972.03,2972.03,2972.03,2972.03
FDS12,OUT027,3393.849,3393.849,3393.849,3393.849,3393.849,3393.849,3393.849,3393.849,3393.849,3393.849,3393.849,3393.849
FDR39,OUT027,5034.228,5034.228,5034.228,5034.228,5034.228,5034.228,5034.228,5034.228,5034.228,5034.228,5034.228,5034.228
FDP12,OUT027,1040.484,1040.484,1040.484,1040.484,1040.484,1040.484,1040.484,1040.484,1040.484,1040.484,1040.484,1040.484
DRF60,OUT027,5679.249,5679.249,5679.249,5679.249,5679.249,5679.249,5679.249,5679.249,5679.249,5679.249,5679.249,5679.249
FDC09,OUT035,1872.47,1872.47,1872.47,1872.47,1872.47,1872.47,1872.47,1872.47,1872.47,1872.47,1872.47,1872.47
FDF50,OUT018,3055.882,3055.882,3055.882,3055.882,3055.882,3055.882,3055.882,3055.882,3055.882,3055.882,3055.882,3055.882
FDG28,OUT035,4063.356,4063.356,4063.356,4063.356,4063.356,4063.356,4063.356,4063.356,4063.356,4063.356,4063.356,4063.356
NCE19,OUT017,866.124,866.124,866.124,866.124,866.124,866.124,866.124,866.124,866.124,866.124,866.124,866.124
NCM53,OUT010,222.975,222.975,222.975,222.975,222.975,222.975,222.975,222.975,222.975,222.975,222.975,222.975
NCN18,OUT049,1897.456,1897.456,1897.456,1897.456,1897.456,1897.456,1897.456,1897.456,1897.456,1897.456,1897.456,1897.456
FDF32,OUT035,3441.977,3441.977,3441.977,3441.977,3441.977,3441.977,3441.977,3441.977,3441.977,3441.977,3441.977,3441.977
FDF11,OUT013,4375.037,4375.037,4375.037,4375.037,4375.037,4375.037,4375.037,4375.037,4375.037,4375.037,4375.037,4375.037
DRI59,OUT049,4027.9,4027.9,4027.9,4027.9,4027.9,4027.9,4027.9,4027.9,4027.9,4027.9,4027.9,4027.9
NCG54,OUT035,2807.932,2807.932,2807.932,2807.932,2807.932,2807.932,2807.932,2807.932,2807.932,2807.932,2807.932,2807.932
FDM44,OUT046,1734.95,1734.95,1734.95,1734.95,1734.95,1734.95,1734.95,1734.95,1734.95,1734.95,1734.95,1734.95
FDT57,OUT018,3228.778,3228.778,3228.778,3228.778,3228.778,3228.778,3228.778,3228.778,3228.778,3228.778,3228.778,3228.778
FDV24,OUT046,2203.974,2203.974,2203.974,2203.974,2203.974,2203.974,2203.974,2203.974,2203.974,2203.974,2203.974,2203.974
FDI50,OUT019,749.323,749.323,749.323,749.323,749.323,749.323,749.323,749.323,749.323,749.323,749.323,749.323
FDS09,OUT035,797.018,797.018,797.018,797.018,797.018,797.018,797.018,797.018,797.018,797.018,797.018,797.018
NCC31,OUT027,3612.345,3612.345,3612.345,3612.345,3612.345,3612.345,3612.345,3612.345,3612.345,3612.345,3612.345,3612.345
FDQ07,OUT019,619.934,619.934,619.934,619.934,619.934,619.934,619.934,619.934,619.934,619.934,619.934,619.934
FDC22,OUT017,3194.986,3194.986,3194.986,3194.986,3194.986,3194.986,3194.986,3194.986,3194.986,3194.986,3194.986,3194.986
FDZ56,OUT046,2728.488,2728.488,2728.488,2728.488,2728.488,2728.488,2728.488,2728.488,2728.488,2728.488,2728.488,2728.488
FDZ40,OUT019,169.296,169.296,169.296,169.296,169.296,169.296,169.296,169.296,169.296,169.296,169.296,169.296
FDS46,OUT027,2958.193,2958.193,2958.193,2958.193,2958.193,2958.193,2958.193,2958.193,2958.193,2958.193,2958.193,2958.193
DRD24,OUT045,2027.012,2027.012,2027.012,2027.012,2027.012,2027.012,2027.012,2027.012,2027.012,2027.012,2027.012,2027.012
FDV45,OUT017,3247.151,3247.151,3247.151,3247.151,3247.151,3247.151,3247.151,3247.151,3247.151,3247.151,3247.151,3247.151
