iter	Passed	Remaining
340	851	1645
341	854	1643
342	856	1640
343	858	1637
344	861	1634
345	863	1632
346	866	1630
347	868	1628
348	871	1624
349	873	1622
350	875	1619
351	878	1617
352	880	1614
353	882	1611
354	883	1605
355	884	1600
356	887	1597
357	889	1595
358	892	1593
359	892	1587
360	895	1585
361	897	1582
362	900	1579
363	902	1576
364	905	1574
365	907	1572
366	909	1569
367	912	1566
368	915	1566
369	916	1560
370	918	1557
371	921	1555
372	923	1552
373	925	1549
374	927	1546
375	930	1544
376	932	1541
377	933	1535
378	935	1533
379	938	1530
380	940	1528
381	943	1525
382	945	1523
383	948	1520
384	948	1515
385	951	1513
386	953	1510
387	956	1509
388	957	1504
389	960	1501
390	962	1499
391	965	1497
392	968	1495
393	970	1493
394	973	1491
395	975	1488
396	978	1486
397	980	1483
398	983	1481
399	985	1478
400	988	1476
401	990	1473
402	993	1471
403	995	1468
404	998	1466
405	1000	1463
406	1002	1460
407	1004	1458
408	1007	1455
409	1009	1452
410	1012	1450
411	1014	1447
412	1016	1445
413	1019	1442
414	1021	1439
415	1023	1437
416	1026	1435
417	1029	1432
418	1031	1429
419	1033	1426
420	1035	1424
421	1037	1421
422	1040	1418
423	1042	1416
424	1044	1413
425	1047	1410
426	1049	1408
427	1050	1403
428	1052	1400
429	1055	1398
430	1056	1395
431	1060	1394
432	1062	1391
433	1065	1388
434	1067	1386
435	1069	1383
436	1072	1381
437	1074	1378
438	1076	1375
439	1079	1373
440	1080	1370
441	1083	1367
442	1085	1364
443	1087	1362
444	1090	1359
445	1093	1357
446	1095	1355
447	1097	1352
448	1100	1349
449	1102	1347
450	1105	1345
451	1107	1342
452	1110	1340
453	1112	1338
454	1115	1335
455	1117	1332
456	1119	1329
457	1122	1327
458	1124	1325
459	1126	1322
460	1128	1319
461	1131	1317
462	1134	1315
463	1136	1312
464	1138	1310
465	1141	1307
466	1143	1305
467	1146	1302
468	1148	1300
469	1150	1297
470	1153	1295
471	1156	1293
472	1158	1290
473	1160	1288
474	1163	1285
475	1165	1283
476	1167	1280
477	1169	1277
478	1172	1274
479	1174	1272
480	1176	1269
481	1178	1266
482	1180	1263
483	1183	1261
484	1185	1258
485	1187	1256
486	1189	1253
487	1192	1250
488	1194	1248
489	1197	1245
490	1199	1243
491	1202	1241
492	1204	1238
493	1206	1236
494	1209	1233
495	1211	1230
496	1213	1228
497	1216	1226
498	1219	1223
499	1221	1221
500	1224	1219
501	1226	1217
502	1229	1214
503	1231	1212
504	1234	1209
505	1236	1207
506	1239	1205
507	1242	1203
508	1245	1201
509	1247	1198
510	1249	1195
511	1251	1193
512	1255	1191
513	1258	1189
514	1260	1187
515	1262	1184
516	1265	1181
517	1267	1179
518	1269	1176
519	1272	1174
520	1274	1171
521	1277	1169
522	1280	1167
523	1282	1165
524	1285	1163
525	1288	1160
526	1290	1158
527	1293	1156
528	1294	1152
529	1296	1150
530	1299	1147
531	1301	1145
532	1304	1143
533	1307	1140
534	1309	1138
535	1311	1135
536	1314	1133
537	1316	1130
538	1319	1128
539	1321	1126
540	1324	1123
541	1326	1121
542	1329	1118
543	1331	1116
544	1334	1114
545	1336	1111
546	1340	1110
547	1343	1108
548	1345	1105
549	1348	1103
550	1350	1100
551	1353	1098
552	1356	1096
553	1358	1093
554	1360	1091
555	1363	1088
556	1365	1086
557	1367	1083
558	1371	1081
559	1373	1079
560	1376	1077
561	1378	1074
562	1381	1071
563	1383	1069
564	1385	1066
565	1388	1064
566	1390	1061
567	1392	1059
568	1395	1057
569	1398	1054
570	1400	1052
571	1403	1049
572	1405	1047
573	1407	1044
574	1410	1042
575	1412	1039
576	1415	1037
577	1417	1034
578	1420	1032
579	1422	1030
580	1424	1027
581	1427	1025
582	1430	1022
583	1432	1020
584	1435	1018
585	1437	1015
586	1439	1012
587	1442	1010
588	1444	1008
589	1447	1005
590	1449	1003
591	1451	1000
592	1454	998
593	1456	995
594	1459	993
595	1462	991
596	1464	988
597	1467	986
598	1469	983
599	1471	981
600	1474	979
601	1477	976
602	1480	974
603	1482	971
604	1485	969
605	1487	967
606	1489	964
607	1492	962
608	1495	960
609	1497	957
610	1500	955
611	1502	952
612	1505	950
613	1507	947
614	1510	945
615	1512	943
616	1515	940
617	1517	938
618	1520	936
619	1523	933
620	1526	931
621	1528	928
622	1530	926
623	1533	923
624	1535	921
625	1538	919
626	1540	916
627	1543	914
628	1545	911
629	1548	909
630	1550	906
631	1552	904
632	1555	902
633	1558	899
634	1560	897
635	1563	894
636	1565	892
637	1568	889
638	1570	887
639	1573	884
640	1575	882
641	1577	879
642	1580	877
643	1582	874
644	1585	872
645	1587	870
646	1590	867
647	1592	865
648	1594	862
649	1597	860
650	1600	857
651	1602	855
652	1605	852
653	1607	850
654	1610	848
655	1613	845
656	1615	843
657	1617	840
658	1620	838
659	1623	836
660	1625	833
661	1628	831
662	1630	828
663	1632	826
664	1635	823
665	1638	821
666	1640	819
667	1643	816
668	1646	814
669	1649	812
670	1651	809
671	1654	807
672	1656	804
673	1659	802
674	1661	800
675	1664	797
676	1666	795
677	1669	792
678	1671	790
679	1673	787
680	1676	785
681	1678	782
682	1681	780
683	1683	777
684	1687	775
685	1689	773
686	1692	771
687	1694	768
688	1697	766
689	1699	763
690	1701	760
691	1703	758
692	1706	756
693	1709	753
694	1711	751
695	1713	748
696	1716	746
697	1718	743
698	1720	741
699	1723	738
700	1725	736
701	1728	733
702	1730	731
703	1732	728
704	1735	726
705	1737	723
706	1739	721
707	1742	718
708	1744	716
709	1747	713
710	1749	711
711	1752	708
712	1754	706
713	1757	703
714	1759	701
715	1761	698
716	1764	696
717	1766	693
718	1769	691
719	1772	689
720	1774	686
721	1777	684
722	1779	681
723	1782	679
724	1784	676
725	1787	674
726	1789	672
727	1792	669
728	1794	667
729	1796	664
730	1798	661
731	1801	659
732	1804	657
733	1807	654
734	1810	652
735	1812	650
736	1815	647
737	1817	645
738	1819	642
739	1822	640
740	1824	637
741	1828	635
742	1830	633
743	1833	630
744	1835	628
745	1838	625
746	1840	623
747	1842	620
748	1845	618
749	1847	615
750	1849	613
751	1852	610
752	1854	608
753	1857	605
754	1859	603
755	1862	601
756	1864	598
757	1867	596
758	1869	593
759	1872	591
760	1874	588
761	1877	586
762	1879	583
763	1881	581
764	1884	578
765	1886	576
766	1889	573
767	1891	571
768	1893	568
769	1896	566
770	1898	563
771	1901	561
772	1903	558
773	1906	556
774	1908	554
775	1911	551
776	1913	549
777	1916	546
778	1918	544
779	1920	541
780	1923	539
781	1926	536
782	1928	534
783	1930	531
784	1933	529
785	1935	527
786	1939	524
787	1941	522
788	1944	520
789	1947	517
790	1949	515
791	1951	512
792	1954	510
793	1957	507
794	1959	505
795	1962	502
796	1964	500
797	1966	497
798	1969	495
799	1972	493
800	1974	490
801	1976	488
802	1979	485
803	1981	483
804	1983	480
805	1986	478
806	1988	475
807	1991	473
808	1994	470
809	1996	468
810	1999	465
811	2002	463
812	2004	461
813	2007	458
814	2009	456
815	2011	453
816	2014	451
817	2016	448
818	2018	446
819	2021	443
820	2023	441
821	2026	438
822	2028	436
823	2031	433
824	2033	431
825	2036	428
826	2039	426
827	2041	424
828	2044	421
829	2047	419
830	2050	416
831	2052	414
832	2054	411
833	2057	409
834	2059	406
835	2061	404
836	2064	401
837	2066	399
838	2070	397
839	2073	394
840	2076	392
841	2077	389
842	2080	387
843	2082	384
844	2085	382
845	2088	380
846	2090	377
847	2093	375
848	2095	372
849	2098	370
850	2100	367
851	2103	365
852	2105	362
853	2108	360
854	2110	357
855	2113	355
856	2115	352
857	2117	350
858	2120	348
859	2123	345
860	2125	343
861	2128	340
862	2130	338
863	2133	335
864	2136	333
865	2138	330
866	2141	328
867	2143	326
868	2146	323
869	2148	321
870	2151	318
871	2154	316
872	2157	313
873	2159	311
874	2162	308
875	2164	306
876	2167	303
877	2170	301
878	2173	299
879	2176	296
880	2178	294
881	2181	291
882	2183	289
883	2186	286
884	2189	284
885	2191	282
886	2194	279
887	2196	277
888	2199	274
889	2201	272
890	2204	269
891	2206	267
892	2209	264
893	2211	262
894	2213	259
895	2216	257
896	2219	254
897	2220	252
898	2222	249
899	2225	247
900	2227	244
901	2230	242
902	2233	239
903	2235	237
904	2238	234
905	2240	232
906	2242	229
907	2245	227
908	2248	225
909	2251	222
910	2253	220
911	2256	217
912	2259	215
913	2261	212
914	2264	210
915	2266	207
916	2269	205
917	2272	202
918	2274	200
919	2276	197
920	2279	195
921	2281	193
922	2284	190
923	2287	188
924	2290	185
925	2293	183
926	2296	180
927	2298	178
928	2302	175
929	2305	173
930	2307	171
931	2309	168
932	2312	166
933	2314	163
934	2317	161
935	2319	158
936	2322	156
937	2325	153
938	2327	151
939	2330	148
940	2332	146
941	2335	143
942	2337	141
943	2340	138
944	2343	136
945	2345	133
946	2348	131
947	2350	128
948	2352	126
949	2355	123
950	2359	121
951	2361	119
952	2364	116
953	2366	114
954	2369	111
955	2373	109
956	2375	106
957	2377	104
958	2380	101
959	2383	99
960	2385	96
961	2387	94
962	2390	91
963	2392	89
964	2395	86
965	2398	84
966	2400	81
967	2403	79
968	2406	76
969	2408	74
970	2411	72
971	2415	69
972	2419	67
973	2422	64
974	2425	62
975	2428	59
976	2430	57
977	2433	54
978	2436	52
979	2438	49
980	2441	47
981	2443	44
982	2446	42
983	2448	39
984	2450	37
985	2453	34
986	2455	32
987	2458	29
988	2460	27
989	2463	24
990	2466	22
991	2468	19
992	2471	17
993	2474	14
994	2476	12
995	2479	9
996	2481	7
997	2483	4
998	2486	2
999	2489	0
