iter	RMSE
331	0.4539268432
332	0.453724554
333	0.4536019672
334	0.4534513758
335	0.453325336
336	0.4531933881
337	0.4529121029
338	0.4529112214
339	0.4527244326
340	0.4526351031
341	0.4524845582
342	0.4523804034
343	0.4522174599
344	0.4518881259
345	0.4516907355
346	0.4514922177
347	0.4513328699
348	0.4512861135
349	0.4510925365
350	0.4509217647
351	0.4506767747
352	0.4505117289
353	0.4503885728
354	0.450387821
355	0.450361554
356	0.4502142203
357	0.4499317538
358	0.4497734635
359	0.4497727587
360	0.4496601041
361	0.4495552939
362	0.449396493
363	0.4491901487
364	0.4489121988
365	0.448720133
366	0.4485633991
367	0.44847993
368	0.4482714499
369	0.4482707787
370	0.4482531685
371	0.4480307957
372	0.447921742
373	0.4477911297
374	0.4477139452
375	0.4475163207
376	0.447374063
377	0.4473734584
378	0.4472198328
379	0.4470109417
380	0.4469673051
381	0.4469026909
382	0.4467285681
383	0.4465197573
384	0.4465191696
385	0.4464311312
386	0.4463319621
387	0.4462116851
388	0.4462063913
389	0.4461290083
390	0.4459710618
391	0.4458309814
392	0.4457296167
393	0.4454687972
394	0.4452111097
395	0.4451070142
396	0.4449663196
397	0.4447809311
398	0.4446599803
399	0.4443455281
400	0.444281503
401	0.4442007978
402	0.4437585939
403	0.4434657964
404	0.4433416891
405	0.4431965001
406	0.4431482475
407	0.4430538551
408	0.4429198686
409	0.4427634318
410	0.4427205702
411	0.4425407245
412	0.4423716491
413	0.4422147348
414	0.4421424349
415	0.4419955875
416	0.4417715332
417	0.4415417725
418	0.4414562758
419	0.4412838344
420	0.4411264234
421	0.4409886637
422	0.440884642
423	0.4407691921
424	0.4407278287
425	0.4405839392
426	0.4404639741
427	0.44046341
428	0.4403099095
429	0.4400657277
430	0.4400266816
431	0.4398464834
432	0.4396669559
433	0.4395710371
434	0.4394035421
435	0.4392743813
436	0.4391399664
437	0.4391071792
438	0.439010732
439	0.4388542166
440	0.4387990495
441	0.438643115
442	0.4384640527
443	0.4382911632
444	0.4381237321
445	0.4379115324
446	0.4377946957
447	0.4376215464
448	0.4375057643
449	0.4373733553
450	0.4372163642
451	0.4370013423
452	0.4369112602
453	0.4367287717
454	0.436503535
455	0.436488274
456	0.4363761707
457	0.4361460689
458	0.4359942536
459	0.4359226164
460	0.4358111367
461	0.4355063237
462	0.4353681399
463	0.4352480822
464	0.4351104522
465	0.4349415368
466	0.4347421255
467	0.4345832356
468	0.4343998177
469	0.4343132189
470	0.4340407686
471	0.4338185026
472	0.4336950266
473	0.4336133022
474	0.4334201024
475	0.4332112156
476	0.433033378
477	0.4329591364
478	0.4328404197
479	0.4327014996
480	0.4325151499
481	0.4323777176
482	0.4321038064
483	0.4319516043
484	0.431891539
485	0.4317963708
486	0.4316744206
487	0.431613542
488	0.4313846823
489	0.4312708411
490	0.4310819553
491	0.4309278104
492	0.4308285399
493	0.4306941313
494	0.4304603891
495	0.4302148407
496	0.4300736512
497	0.4299021853
498	0.4296476633
499	0.4295152468
500	0.4293469088
501	0.4292019995
502	0.4290230211
503	0.4289706405
504	0.4288867875
505	0.4287065563
506	0.4285000289
507	0.4283836878
508	0.4282744845
509	0.4281416217
510	0.4279838961
511	0.4279345666
512	0.4278467707
513	0.4276858974
514	0.4274682126
515	0.4273336029
516	0.4271926907
517	0.4269925464
518	0.4267543959
519	0.4266698328
520	0.4266260732
521	0.4264188781
522	0.426286671
523	0.426157665
524	0.4260042382
525	0.425842286
526	0.425720046
527	0.4255554718
528	0.4255552739
529	0.4254306958
530	0.4252051898
531	0.4251020894
532	0.4248890404
533	0.4247026175
534	0.4245834684
535	0.4245068939
536	0.4243670769
537	0.4242773274
538	0.4241675445
539	0.4239871721
540	0.4238543245
541	0.423798833
542	0.4236860272
543	0.4235482355
544	0.4233487781
545	0.4232089058
546	0.4230598647
547	0.4229281083
548	0.4227825946
549	0.4227224203
550	0.4226021905
551	0.4223942609
552	0.42222441
553	0.4221211829
554	0.4219687817
555	0.4219157081
556	0.4218187289
557	0.421732766
558	0.4215377395
559	0.4212953362
560	0.4211712769
561	0.4210856753
562	0.4209607166
563	0.4208491806
564	0.4205396146
565	0.4204925103
566	0.4204311897
567	0.4203410433
568	0.4202406714
569	0.4201495628
570	0.4200746812
571	0.4199374924
572	0.4198759626
573	0.4196411443
574	0.4194638884
575	0.4193248784
576	0.4191065389
577	0.4188183721
578	0.4187076114
579	0.4185591509
580	0.4183104668
581	0.4181557478
582	0.4179799901
583	0.4179250961
584	0.4178204234
585	0.4176564067
586	0.4174869878
587	0.4173270252
588	0.4172860116
589	0.4171770522
590	0.4171050684
591	0.4170030666
592	0.4168740133
593	0.4166933252
594	0.4165821114
595	0.4164836504
596	0.4163606315
597	0.4162331744
598	0.4160320373
599	0.4159116395
600	0.4157357308
601	0.4155339212
602	0.415421493
603	0.4152431229
604	0.415133397
605	0.4149707222
606	0.4148535893
607	0.4147794875
608	0.4145993624
609	0.4145124316
610	0.4143950373
611	0.4142575043
612	0.4141798291
613	0.4139968095
614	0.4138306318
615	0.4137488558
616	0.413682908
617	0.4134776603
618	0.4133232108
619	0.4131856738
620	0.4129775607
621	0.4129178252
622	0.4128412287
623	0.4127010218
624	0.4125635312
625	0.4124635518
626	0.4123082395
627	0.4121202749
628	0.412087462
629	0.411987921
630	0.4118799695
631	0.4117657287
632	0.4115119918
633	0.4114465762
634	0.4113294063
635	0.411192965
636	0.411100344
637	0.4110048906
638	0.4108802215
639	0.4106752869
640	0.4105917874
641	0.4103616445
642	0.4102051737
643	0.4099727221
644	0.4098104668
645	0.4097306705
646	0.4096079042
647	0.409519828
648	0.4093201563
649	0.4091638378
650	0.4090543955
651	0.4089804909
652	0.408839238
653	0.4086577709
654	0.4084829492
655	0.4083349197
656	0.4082115152
657	0.4080278225
658	0.4078527711
659	0.4076805252
660	0.4075847472
661	0.4074340807
662	0.4073507695
663	0.4070913065
664	0.4069875128
665	0.4068546011
666	0.4067818273
667	0.4066170159
668	0.4065203051
669	0.406219639
670	0.4060480636
671	0.4059269523
672	0.4057466417
673	0.4055702227
674	0.4055059333
675	0.4053733558
676	0.4052502732
677	0.4050770215
678	0.4050411159
679	0.4048183698
680	0.4045946532
681	0.4045243308
682	0.4043909154
683	0.4042962798
684	0.4041712327
685	0.4040040481
686	0.403846785
687	0.4037197385
688	0.4035148766
689	0.4034127842
690	0.403316131
691	0.4031967199
692	0.4030931241
693	0.4029950243
694	0.4029330032
695	0.4025990481
696	0.4024749277
697	0.4024025993
698	0.4022788871
699	0.4020678645
700	0.4019892411
701	0.4018242576
702	0.4017289679
703	0.401581455
704	0.4013508807
705	0.4012237785
706	0.4010805613
707	0.4009190709
708	0.4007994894
709	0.4006535528
710	0.4004749747
711	0.4003096668
712	0.4001827976
713	0.4000349482
714	0.3998902322
715	0.399784554
716	0.3996806587
717	0.3995953813
718	0.3994523115
719	0.399305508
720	0.3991942281
721	0.3990550854
722	0.39887807
723	0.3987485859
724	0.3985774256
725	0.3983174412
726	0.3982375176
727	0.3980918112
728	0.398013894
729	0.3979604486
730	0.3978460051
731	0.397744085
732	0.3976166797
733	0.397501981
734	0.3973589651
735	0.397278556
736	0.3971928359
737	0.397058131
738	0.3969411835
739	0.3967518858
740	0.3965504665
741	0.3964433491
742	0.3963282097
743	0.3962059144
744	0.3960796632
745	0.3959615649
746	0.395777104
747	0.3955641875
748	0.3954115605
749	0.3952821234
750	0.3952359642
751	0.3950654093
752	0.3947996452
753	0.3946914101
754	0.3945441294
755	0.3943474873
756	0.3943229278
757	0.3941900327
758	0.3939614058
759	0.3939209436
760	0.3938090805
761	0.393730698
762	0.3935817856
763	0.3934421242
764	0.3932718044
765	0.3931454757
766	0.3929945188
767	0.3927764423
768	0.3926697233
769	0.3924790892
770	0.3923974871
771	0.392243133
772	0.3921564371
773	0.3920466744
774	0.3919595027
775	0.3917948122
776	0.3917108363
777	0.3915971583
778	0.3914595517
779	0.3913488391
780	0.3912240281
781	0.3911255742
782	0.3909597846
783	0.3908752413
784	0.3907817448
785	0.3906059848
786	0.3903829793
787	0.3902898047
788	0.3901601534
789	0.3899596903
790	0.3898228323
791	0.3896426047
792	0.3894832348
793	0.3893712758
794	0.3891754826
795	0.3890001435
796	0.3889236466
797	0.3888762748
798	0.38879566
799	0.3887322364
800	0.3885957364
801	0.3885158223
802	0.3883845036
803	0.3883288522
804	0.38822487
805	0.3880782533
806	0.3879455564
807	0.387754944
808	0.3876197379
809	0.3873287422
810	0.3871736161
811	0.3871312858
812	0.3870202596
813	0.3869329022
814	0.3868549145
815	0.3868087307
816	0.3866904413
817	0.3865555821
818	0.3864375624
819	0.3863647166
820	0.3862291467
821	0.38610799
822	0.3860490418
823	0.3859497389
824	0.3858312416
825	0.385733435
826	0.385565369
827	0.385341926
828	0.3851883654
829	0.3850244592
830	0.3848428063
831	0.3846788688
832	0.3846401783
833	0.3845239798
834	0.3843642828
835	0.3840992855
836	0.3839201388
837	0.3837800223
838	0.3836714233
839	0.3835583052
840	0.3833483781
841	0.3833480295
842	0.3832103246
843	0.3830832711
844	0.3829804012
845	0.3828568775
846	0.3827996984
847	0.3826126129
848	0.3824975048
849	0.3823519164
850	0.3821898483
851	0.3821109912
852	0.3820158278
853	0.3819326407
854	0.3818025624
855	0.3816389297
856	0.3815586273
857	0.3815129091
858	0.3814229821
859	0.381329408
860	0.3812790601
861	0.3811653599
862	0.3811085522
863	0.3810104858
864	0.3808710302
865	0.3807057784
866	0.3805702539
867	0.380498458
868	0.380361086
869	0.380234512
870	0.3801218475
871	0.3800405726
872	0.3799708608
873	0.3797855331
874	0.3796527898
875	0.3795768423
876	0.3794844952
877	0.3792799608
878	0.3791725584
879	0.3790443055
880	0.3789517012
881	0.378828652
882	0.3787239149
883	0.3786855236
884	0.3785508106
885	0.3784605363
886	0.3783702764
887	0.3782788448
888	0.3781460315
889	0.3780768084
890	0.3780244881
891	0.3778778004
892	0.3777417224
893	0.3776622393
894	0.3775335487
895	0.3773503437
896	0.3772182694
897	0.3772179627
898	0.3771596141
899	0.3768684889
900	0.3767570824
901	0.37668461
902	0.3765511455
903	0.3765087093
904	0.3763425881
905	0.3762448219
906	0.3761290282
907	0.3759565886
908	0.3758301234
909	0.3757490023
910	0.3755298553
911	0.3753984659
912	0.3752220828
913	0.3750330988
914	0.3749380979
915	0.3748212237
916	0.3746137244
917	0.3744351641
918	0.3743488103
919	0.3742482973
920	0.3740931107
921	0.3739578292
922	0.3737655369
923	0.3736123012
924	0.3734561743
925	0.3732677339
926	0.3730882993
927	0.3729429809
928	0.3727802234
929	0.3726747355
930	0.372603963
931	0.3724990103
932	0.372371771
933	0.3722620953
934	0.372163261
935	0.3720799005
936	0.3718642182
937	0.371720932
938	0.3716312876
939	0.3714740523
940	0.3713333388
941	0.3712266384
942	0.3711344393
943	0.3710316801
944	0.3709767771
945	0.3708181191
946	0.3707304108
947	0.3706700183
948	0.3704505635
949	0.3703301366
950	0.3701486234
951	0.3699135596
952	0.3698049075
953	0.3696534413
954	0.3695302482
955	0.3694210414
956	0.3693095722
957	0.3692041421
958	0.3690905493
959	0.3689775691
960	0.3689110887
961	0.368769539
962	0.3686607859
963	0.3685965185
964	0.3685492093
965	0.3684261191
966	0.3682879906
967	0.3681347978
968	0.3679860188
969	0.3678684218
970	0.3676465124
971	0.3675048422
972	0.3673547036
973	0.3672848396
974	0.3671485281
975	0.3670847409
976	0.3670037851
977	0.366938282
978	0.3667983268
979	0.366675567
980	0.3665581716
981	0.3664382335
982	0.366385671
983	0.3662481075
984	0.3661181754
985	0.366024559
986	0.3659354024
987	0.3658093318
988	0.3656130701
989	0.3655572309
990	0.3654434575
991	0.3652799036
992	0.3651299892
993	0.3650423117
994	0.3649545066
995	0.3648731272
996	0.3647995837
997	0.3645982979
998	0.3644974412
999	0.3643591634
